Année;Trimestre;Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2003;1;2003-01-31;Contrat de plus d'un mois;CDI;303012;247095
2003;1;2003-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;184811;289859
2003;1;2003-03-31;Contrat de plus d'un mois;CDI;255626;251252
2003;2;2003-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;256307;284264
2003;3;2003-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;171477;273724
2003;3;2003-09-30;Contrat de plus d'un mois;CDI;352078;243739
2003;4;2003-10-31;Contrat de plus d'un mois;CDI;305805;243807
2004;1;2004-02-29;Contrat de plus d'un mois;CDI;223810;241875
2004;1;2004-03-31;Contrat de plus d'un mois;CDI;248632;237925
2004;2;2004-04-30;Contrat de plus d'un mois;CDI;243367;245712
2004;2;2004-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;258452;298845
2004;3;2004-07-31;Contrat de plus d'un mois;CDI;202321;237613
2004;3;2004-08-31;Contrat de plus d'un mois;CDI;174759;246068
2004;3;2004-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;442668;300183
2004;4;2004-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;304194;300956
2004;4;2004-11-30;Contrat de plus d'un mois;CDI;246689;244468
2004;4;2004-12-31;Contrat de plus d'un mois;CDI;190122;236093
2005;2;2005-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;269749;305532
2005;2;2005-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400419;309099
2005;3;2005-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;594082;315853
2005;3;2005-07-31;Contrat de plus d'un mois;CDI;198670;232788
2005;3;2005-08-31;Contrat de plus d'un mois;CDI;185494;262459
2005;3;2005-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;458797;307427
2005;3;2005-09-30;Contrat de plus d'un mois;CDI;359731;254446
2005;4;2005-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;313032;301535
2005;4;2005-12-31;Contrat de plus d'un mois;CDI;210419;266868
2006;1;2006-02-28;Contrat de plus d'un mois;CDI;248285;272397
2006;1;2006-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;222692;276469
2006;2;2006-05-31;Contrat de plus d'un mois;CDI;255973;288049
2006;2;2006-06-30;Contrat de plus d'un mois;CDI;244723;272656
2006;3;2006-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;206308;312046
2006;3;2006-08-31;Contrat de plus d'un mois;CDI;188275;268055
2006;4;2006-10-31;Contrat de plus d'un mois;CDI;339944;266570
2007;1;2007-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;279686;308575
2007;1;2007-02-28;Contrat de plus d'un mois;CDI;251383;278214
2007;1;2007-03-31;Contrat de plus d'un mois;CDI;274234;282480
2007;2;2007-05-31;Contrat de plus d'un mois;CDI;248482;290063
2007;2;2007-06-30;Contrat de plus d'un mois;CDI;270744;295555
2007;3;2007-08-31;Contrat de plus d'un mois;CDI;205523;290840
2007;4;2007-10-31;Contrat de plus d'un mois;CDI;377849;293914
2007;4;2007-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;273017;327705
2007;4;2007-11-30;Contrat de plus d'un mois;CDI;281608;286045
2008;1;2008-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;300177;337942
